id,name,description,organisation_unit_level_id,parent_organisation_unit_id,archived,address,phone,email,latitude,longitude
626,Akure North,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
627,Akure South,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
628,Ese Odo,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
629,Idanre,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
630,Ifedore,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
631,Ilaje,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
632,Ile Oluji/Okeigbo,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
633,Irele,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
634,Odigbo,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
635,Okitipupa,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
636,Ondo East,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
637,Ondo West,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
638,Ose,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
639,Owo,Local government in Ondo State,3,30,0,NULL,NULL,NULL,NULL,NULL
640,Atakunmosa East,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
641,Atakunmosa West,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
642,Aiyedaade,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
643,Aiyedire,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
644,Boluwaduro,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
645,Boripe,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
646,Ede North,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
647,Ede South,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
648,Ife Central,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
649,Ife East,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
650,Ife North,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
651,Ife South,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
652,Egbedore,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
653,Ejigbo,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
654,Ifedayo,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
655,Ifelodun,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
656,Ila,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
657,Ilesa East,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
658,Ilesa West,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
659,Irepodun,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
660,Irewole,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
661,Isokan,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
662,Iwo,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
663,Obokun,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
664,Odo Otin,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
665,Ola Oluwa,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
666,Olorunda,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
667,Oriade,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
668,Orolu,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
669,Osogbo,Local government in Osun State,3,31,0,NULL,NULL,NULL,NULL,NULL
670,Afijio,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
671,Akinyele,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
672,Atiba,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
673,Atisbo,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
674,Egbeda,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
675,Ibadan North,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
676,Ibadan North-East,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
677,Ibadan North-West,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
678,Ibadan South-East,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
679,Ibadan South-West,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
680,Ibarapa Central,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
681,Ibarapa East,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
682,Ibarapa North,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
683,Ido,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
684,Irepo,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
685,Iseyin,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
686,Itesiwaju,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
687,Iwajowa,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
688,Kajola,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
689,Lagelu,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
690,Ogbomosho North,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
691,Ogbomosho South,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
692,Ogo Oluwa,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
693,Olorunsogo,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
694,Oluyole,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
695,Ona Ara,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
696,Orelope,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
697,Ori Ire,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
698,Oyo West,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
699,Oyo East,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
700,Saki East,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
701,Saki West,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
702,Surulere,Local government in Oyo State,3,32,0,NULL,NULL,NULL,NULL,NULL
703,Bokkos,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
704,Barkin Ladi,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
705,Bassa,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
706,Jos East,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
707,Jos North,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
708,Jos South,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
709,Kanam,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
710,Kanke,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
711,Langtang South,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
712,Langtang North,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
713,Mangu,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
714,Mikang,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
715,Pankshin,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
716,Qua'an Pan,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
717,Riyom,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
718,Shendam,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
719,Wase,Local government in Plateau State,3,33,0,NULL,NULL,NULL,NULL,NULL
720,Abua/Odual,Local government in Plateau State,3,34,0,NULL,NULL,NULL,NULL,NULL
721,Ahoada East,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
722,Ahoada West,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
723,Akuku-Toru,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
724,Andoni,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
725,Asari-Toru,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
726,Bonny,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
727,Degema,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
728,Eleme,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
729,Emuoha,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
730,Etche,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
731,Gokana,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
732,Ikwerre,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
733,Khana,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
734,Obio/Akpor,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
735,Ogba/Egbema/Ndoni,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
736,Ogu/Bolo,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
737,Okrika,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
738,Omuma,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
739,Opobo/Nkoro,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
740,Oyigbo,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
741,Port Harcourt,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
742,Tai,Local government in Rivers State,3,34,0,NULL,NULL,NULL,NULL,NULL
743,Binji,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
744,Bodinga,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
745,Dange Shuni,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
746,Gada,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
747,Goronyo,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
748,Gudu,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
749,Gwadabawa,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
750,Illela,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
751,Isa,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
752,Kebbe,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
753,Kware,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
754,Rabah,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
755,Sabon Birni,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
756,Shagari,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
757,Silame,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
758,Sokoto North,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
759,Sokoto South,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
760,Tambuwal,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
761,Tangaza,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
762,Tureta,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
763,Wamako,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
764,Wurno,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
765,Yabo,Local government in Sokoto State,3,35,0,NULL,NULL,NULL,NULL,NULL
766,Ardo Kola,Local government in Taraba State,3,36,0,NULL,NULL,NULL,NULL,NULL
767,Bali,Local government in Taraba State,3,36,0,NULL,NULL,NULL,NULL,NULL
768,Donga,Local government in Taraba State,3,36,0,NULL,NULL,NULL,NULL,NULL
769,Gashaka,Local government in Taraba State,3,36,0,NULL,NULL,NULL,NULL,NULL
770,Gassol,Local government in Taraba State,3,36,0,NULL,NULL,NULL,NULL,NULL
771,Ibi,Local government in Taraba State,3,36,0,NULL,NULL,NULL,NULL,NULL
772,Jalingo,Local government in Taraba State,3,36,0,NULL,NULL,NULL,NULL,NULL
773,Karim Lamido,Local government in Taraba State,3,36,0,NULL,NULL,NULL,NULL,NULL
774,Kumi,Local government in Taraba State,3,36,0,NULL,NULL,NULL,NULL,NULL
775,Lau,Local government in Taraba State,3,36,0,NULL,NULL,NULL,NULL,NULL
776,Sardauna,Local government in Taraba State,3,36,0,NULL,NULL,NULL,NULL,NULL
777,Takum,Local government in Taraba State,3,36,0,NULL,NULL,NULL,NULL,NULL
778,Ussa,Local government in Taraba State,3,36,0,NULL,NULL,NULL,NULL,NULL
779,Wukari,Local government in Taraba State,3,36,0,NULL,NULL,NULL,NULL,NULL
780,Yorro,Local government in Taraba State,3,36,0,NULL,NULL,NULL,NULL,NULL
781,Zing,Local government in Taraba State,3,36,0,NULL,NULL,NULL,NULL,NULL
782,Bade,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
783,Bursari,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
784,Damaturu,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
785,Fika,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
786,Fune,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
787,Geidam,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
788,Gujba,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
789,Gulani,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
790,Jakusko,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
791,Karasuwa,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
792,Machina,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
793,Nangere,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
794,Nguru,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
795,Potiskum,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
796,Tarmuwa,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
797,Yunusari,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
798,Yusufari,Local government in Yobe State,3,37,0,NULL,NULL,NULL,NULL,NULL
799,Anka,Local government in Zamfara State,3,38,0,NULL,NULL,NULL,NULL,NULL
800,Bakura,Local government in Zamfara State,3,38,0,NULL,NULL,NULL,NULL,NULL
801,Birnin Magaji/Kiyaw,Local government in Zamfara State,3,38,0,NULL,NULL,NULL,NULL,NULL
802,Bukkuyum,Local government in Zamfara State,3,38,0,NULL,NULL,NULL,NULL,NULL
803,Bungudu,Local government in Zamfara State,3,38,0,NULL,NULL,NULL,NULL,NULL
804,Gummi,Local government in Zamfara State,3,38,0,NULL,NULL,NULL,NULL,NULL
805,Gusau,Local government in Zamfara State,3,38,0,NULL,NULL,NULL,NULL,NULL
806,Kaura Namoda,Local government in Zamfara State,3,38,0,NULL,NULL,NULL,NULL,NULL
807,Maradun,Local government in Zamfara State,3,38,0,NULL,NULL,NULL,NULL,NULL
808,Maru,Local government in Zamfara State,3,38,0,NULL,NULL,NULL,NULL,NULL
809,Shinkafi,Local government in Zamfara State,3,38,0,NULL,NULL,NULL,NULL,NULL
810,Talata Mafara,Local government in Zamfara State,3,38,0,NULL,NULL,NULL,NULL,NULL
811,Chafe,Local government in Zamfara State,3,38,0,NULL,NULL,NULL,NULL,NULL
812,Zurmi,Local government in Zamfara State,3,38,0,NULL,NULL,NULL,NULL,NULL
813,Ahmadu Bello University Teaching Hospital (ABUTH),Ahmadu Bello University Teaching Hospital (ABUTH),7,20,0,Ahmadu Bello University Teaching Hospital (ABUTH),null,null,NULL,NULL
814,Chukwuemeka Odumegwu Ojukwu University Teaching Hospital (COOUTH).,Chukwuemeka Odumegwu Ojukwu University Teaching Hospital (COOUTH).,7,5,0,Chukwuemeka Odumegwu Ojukwu University Teaching Hospital (COOUTH).,null,null,NULL,NULL
815,Rivers State University Hospital (RSUTH),Rivers State University Hospital (RSUTH),7,34,0,Rivers State University Hospital (RSUTH),null,null,NULL,NULL
816,Defence Reference laboratory (DRL) Abuja,Defence Reference laboratory (DRL) Abuja,7,16,0,Defence Reference laboratory (DRL) Abuja,null,null,NULL,NULL
817,Federal Medical Center Makurdi,Federal Medical Center Makurdi,7,8,0,Federal Medical Center Makurdi,null,null,NULL,NULL
818,Federal Teaching Hospital (FTH) Gombe,Federal Teaching Hospital (FTH) Gombe,7,17,0,Federal Teaching Hospital (FTH) Gombe,null,null,NULL,NULL
819,Jos University Teaching Hospital (JUTH) Jos,Jos University Teaching Hospital (JUTH) Jos,7,33,0,Jos University Teaching Hospital (JUTH) Jos,null,null,NULL,NULL
820,Lagos State University Teaching Hospital (LASUTH) Lagos,Lagos State University Teaching Hospital (LASUTH) Lagos,7,26,0,Lagos State University Teaching Hospital (LASUTH) Lagos,null,null,NULL,NULL
821,National Reference Laboratory Gaduwa (NRL) Abuja,National Reference Laboratory Gaduwa (NRL) Abuja,7,16,0,National Reference Laboratory Gaduwa (NRL) Abuja,null,null,NULL,NULL
822,Nigerian Institute of Medical Research (NIMR) Lagos,Nigerian Institute of Medical Research (NIMR) Lagos,7,26,0,Nigerian Institute of Medical Research (NIMR) Lagos,null,null,NULL,NULL
823,Nnamdi Azikiwe University Teaching Hospital (NAUTH),Nnamdi Azikiwe University Teaching Hospital (NAUTH),7,5,0,Nnamdi Azikiwe University Teaching Hospital (NAUTH),null,null,NULL,NULL
824,Obafemi Awolowo University Teaching Hospital (OAUTH) Ile-Ife,Obafemi Awolowo University Teaching Hospital (OAUTH) Ile-Ife,7,32,0,Obafemi Awolowo University Teaching Hospital (OAUTH) Ile-Ife,null,null,NULL,NULL
825,University of Maiduguri Teaching Hospital (UMTH) Maiduguri,University of Maiduguri Teaching Hospital (UMTH) Maiduguri,7,8,0,University of Maiduguri Teaching Hospital (UMTH) Maiduguri,null,null,NULL,NULL
826,University of Uyo teaching Hospital (UUTH) Uyo,University of Uyo teaching Hospital (UUTH) Uyo,7,4,0,University of Uyo teaching Hospital (UUTH) Uyo,null,null,NULL,NULL
827,Usman Danfodio University Teaching Hospital (UDUTH),Usman Danfodio University Teaching Hospital (UDUTH),7,35,0,Usman Danfodio University Teaching Hospital (UDUTH),null,null,NULL,NULL
828,Federal Medical Center Jalingo,Federal Medical Center Jalingo,7,36,0,Federal Medical Center Jalingo,null,null,NULL,NULL
829,68 NARH Yaba, Lagos,69 NARH Yaba, Lagos,7,26,0,69 NARH Yaba, Lagos,null,null,NULL,NULL
830,Asokoro Laboratory and Training Center,Asokoro Laboratory and Training Center,7,16,0,Asokoro Laboratory and Training Center,null,null,NULL,NULL
831,University Of Abuja Teaching Hospital PCR Lab,University Of Abuja Teaching Hospital PCR Lab,7,16,0,University Of Abuja Teaching Hospital PCR Lab,null,null,NULL,NULL
832,Aminu Kano Teaching Hopital PCR Lab,Aminu Kano Teaching Hopital PCR Lab,7,21,0,Aminu Kano Teaching Hopital PCR Lab,null,null,NULL,NULL
833,Plateau State Human Virology Research Center.,Plateau State Human Virology Research Center.,7,33,0,Plateau State Human Virology Research Center.,null,null,NULL,NULL
834,University College Hospital Ibadan,University College Hospital Ibadan,7,32,0,University College Hospital Ibadan,null,null,NULL,NULL
835,Vinzorb Pharmacy Uyo,Vinzorb Pharmacy Uyo,5,107,0,NULL,8037608526,NULL,NULL,NULL
836,EFULECARE PHARMACY,EFULECARE PHARMACY,5,734,0,NULL,8037988609,ngoziaiaokoronkwo@gmail.com,NULL,NULL
837,CAPINO PHARMACY,CAPINO PHARMACY,5,734,0,NULL,8037879766,bascopharm@yahoo.com,NULL,NULL
838,Chilpharm,Chilpharm,5,546,0,NULL,8062100816,NULL,NULL,NULL
839,BUGONS PHARMACY,BUGONS PHARMACY,5,734,0,NULL,8035988906,ugochben@yahoo.com,NULL,NULL
840,COSMADU PHARMACY,COSMADU PHARMACY,5,734,0,NULL,8036760907,cosmasmaduneme@yahoo.com,NULL,NULL
841,SOSO PHARMACY,SOSO PHARMACY,5,734,0,NULL,7030304228,sosopharmacy@gmail.com,NULL,NULL
842,LLYODS PHARMACY,LLYODS PHARMACY,5,734,0,NULL,8033402534,lloydspharm@yahoo.com,NULL,NULL
843,BARATA PHARMACY,BARATA PHARMACY,5,734,0,NULL,9095656624,oenwere@yahoo.com,NULL,NULL
844,OMNES PHARMACY,OMNES PHARMACY,5,734,0,NULL,8036014806,og-mega@yahoo.co.uk,NULL,NULL
845,PHLINT PHARMACY,PHLINT PHARMACY,5,734,0,NULL,7031253763,ify.anyanabor@gmail.com,NULL,NULL
846,I & C PHARMACY,I & C PHARMACY,5,734,0,NULL,8066655168,nwokevictor72@yahoo.com,NULL,NULL
847,MEKNEE PHARMACY,MEKNEE PHARMACY,5,734,0,NULL,8035645991,cnakpa@yahoo.com,NULL,NULL
848,GAKORA PHARMACY,GAKORA PHARMACY,5,734,0,NULL,8037182065,kwalegbemisola@gmail.com,NULL,NULL
849,TOP TEA PHARMACY,TOP TEA PHARMACY,5,734,0,NULL,8067145454,jonwujiariri@gmail.com,NULL,NULL
850,EVERGREEN PHARMACY,EVERGREEN PHARMACY,5,734,0,NULL,9057574354,herbertdgreat@yahoo.com,NULL,NULL
851,FIRST SEED PHARMACY,FIRST SEED PHARMACY,5,734,0,NULL,8182509802,aladishallom@gmail.com,NULL,NULL
852,MEDICURE PHARMACY,MEDICURE PHARMACY,5,734,0,NULL,8066720308,bomsmails@yahoo.com,NULL,NULL
853,AKOLTEM PHARMACY,AKOLTEM PHARMACY,5,734,0,NULL,7063583327,akoltem@yahoo.com,NULL,NULL
854,WILLSON PHARMACY,WILLSON PHARMACY,5,734,0,NULL,8037075532,wilfredugwuanyi@gmail.com,NULL,NULL
855,BENMATIS PHARMACY,BENMATIS PHARMACY,5,734,0,NULL,8148272002,benmatispharmacy@yahoo.com,NULL,NULL
856,MENTOR PHARMACY,MENTOR PHARMACY,5,728,0,NULL,8059000345,mentormed@yahoo.com,NULL,NULL
857,LUNECT PHARMACY,LUNECT PHARMACY,5,740,0,NULL,8035470121,ngozilukeegbogu@yahoo.com,NULL,NULL
858,TREADSTONE PHARMACY,TREADSTONE PHARMACY,5,740,0,NULL,8033402592,oluwakemioladesemola@yahoo.com,NULL,NULL
859,SODATON PHARMACY,SODATON PHARMACY,5,734,0,NULL,7030896961,pharmwale@gmail.com,NULL,NULL
860,GRAVAS PHARMACY,GRAVAS PHARMACY,5,734,0,NULL,NULL,romayuku@yahoo.com,NULL,NULL
861,CHINDUX PHARMACY,CHINDUX PHARMACY,5,734,0,NULL,8033390028,chinduxpharm@yahoo.com,NULL,NULL
862,SILVA PHARMACY,SILVA PHARMACY,5,734,0,NULL,8038806128,silvasyncoinfo@yahoo.com,NULL,NULL
863,CORDIS PHARMACY,CORDIS PHARMACY,5,734,0,NULL,9034490049,cordispharmacy@yahoo.com,NULL,NULL
864,MEKVIC PHARMACY,MEKVIC PHARMACY,5,734,0,NULL,8035415785,vitameka@yahoo.com,NULL,NULL
865,TOP LIFE PHARMACY,TOP LIFE PHARMACY,5,734,0,NULL,8035500834,charleseromosele001@gmail.com,NULL,NULL
866,GRAYMED PHARMACY,GRAYMED PHARMACY,5,734,0,NULL,8063695960,NULL,NULL,NULL
867,BETHSIDA PHARMACY,BETHSIDA PHARMACY,5,734,0,NULL,8034787033,panele@yahoo.com,NULL,NULL
868,PRAYBEST PHARMACY,PRAYBEST PHARMACY,5,734,0,NULL,8033439619,onyekachi4real2008@yahoo.com,NULL,NULL
869,EZDEE PHARMACY,EZDEE PHARMACY,5,734,0,NULL,8039382798,NULL,NULL,NULL
870,MENTOR PHARMACY,MENTOR PHARMACY,5,728,0,NULL,8033421547,mentormed@yahoo.com,NULL,NULL
871,CELIA BUCHI PHARMACY,CELIA BUCHI PHARMACY,5,734,0,NULL,8063397213,NULL,NULL,NULL
872,Kaynaan Pharmacy,Kaynaan Pharmacy,5,214,0,NULL,8032326212,edukecharles@gmail.com,NULL,NULL
873,Remcare Pharmacy,Remcare Pharmacy,5,214,0,NULL,8038685762,chidinmahelen@rocketmail.com,NULL,NULL
874,Wessa Pharmacy,Wessa Pharmacy,5,214,0,NULL,8033367472,vitalisonline2@gmail.com,NULL,NULL
875,Joe- Manuel Pharmacy,Joe- Manuel Pharmacy,5,215,0,NULL,8034518005,charlesuman@yahoo.com,NULL,NULL
876,Genius Pharmacy,Genius Pharmacy,5,215,0,NULL,9096409191,isaackolawole99@gmail.com,NULL,NULL
877,Vicon Pharmacy,Vicon Pharmacy,5,215,0,NULL,8125819232,mfonudofia24@gmail.com,NULL,NULL
878,Andy Pharmacy,Andy Pharmacy,5,215,0,NULL,8037079644,ebengeandy@yahoo.com,NULL,NULL
879,Anijah Pharmacy,Anijah Pharmacy,5,215,0,NULL,9039351759,ObetenCharles@yahoo.com,NULL,NULL
880,Kamel Pharmacy,Kamel Pharmacy,5,215,0,NULL,8063530943,kamelpharmacy1@gmail.com,NULL,NULL
881,Winposh Pharmacy,Winposh Pharmacy,5,215,0,NULL,8037519878,digwechibiuke@yahoo.com,NULL,NULL
882,Bless & Mercy Pharmacy,Bless & Mercy Pharmacy,5,215,0,NULL,8034837194,aruaIfeanyichukwu@yahoo.com,NULL,NULL
883,Andy Pharmacy,Andy Pharmacy,5,215,0,NULL,7038799089,awajinome@gmail.com,NULL,NULL
884,Akaa Pharmacy,Akaa Pharmacy,5,214,0,NULL,8036806361,akaapharmacy@gmail.com,NULL,NULL
885,Eagle Eye Pharmacy,Eagle Eye Pharmacy,5,214,0,NULL,8038723651,ositam.ogbu@gmail.com,NULL,NULL
886,Enamate Pharmacy,Enamate Pharmacy,5,214,0,NULL,8063530943,umetitichinazo@gmail.com,NULL,NULL
887,Kamel Pharmacy,Kamel Pharmacy,5,214,0,NULL,8037453926,kamelpharmacy1@gmail.com,NULL,NULL
888,Canaan Life Pharmacy,Canaan Life Pharmacy,5,214,0,NULL,7039245269,ernestattoe@gmail.com,NULL,NULL
889,Daphyl Pharmacy,Daphyl Pharmacy,5,214,0,NULL,8055026619,daphyl4U@yahoo.com,NULL,NULL
890,Bez Pharmacy,Bez Pharmacy,5,214,0,NULL,8068579547,nsikakudoma@gmail.com,NULL,NULL
891,Kal - G Pharmacy,Kal - G Pharmacy,5,214,0,NULL,8032446501,noblesirpee523@gmail.com,NULL,NULL
892,Anijah Pharmacy,Anijah Pharmacy,5,214,0,NULL,8058500868,aianijah@yahoo.com,NULL,NULL
893,Sedem Pharmacy,Sedem Pharmacy,5,214,0,NULL,7065273015,cyrilokochi@yahoo.com,NULL,NULL
894,CMark Global Pharmacy,CMark Global Pharmacy,5,222,0,NULL,8068103301,udemezuenonso@gmail.com,NULL,NULL
